rank,term,g2,input_count,output_count,input_per_million,output_per_million
1,ensuring,3808.58,7325,1703,705,163
2,highlights,3179.74,6170,1449,594,139
3,supports,3170.47,8997,3004,866,287
4,rather,2982.9,18104,9241,1743,884
5,broader,2963.69,4384,713,422,68
6,often,2853.81,16877,8523,1625,816
7,ensures,2777.68,5302,1222,511,117
8,essential,2624.91,9047,3458,871,331
9,directly,2471.94,6816,2226,656,213
10,reflects,2229.68,5083,1410,490,135
11,significantly,2184.19,5940,1919,572,184
12,effectively,2143.05,5733,1828,552,175
13,reducing,1859.8,5018,1611,483,154
14,strong,1823.54,11567,6010,1114,575
15,reduce,1801.15,8948,4182,862,400
16,key,1740.89,10054,5027,968,481
17,clearly,1674.58,5493,2033,529,195
18,shaped,1584.09,3669,1033,353,99
19,alone,1559.45,3262,831,314,80
20,plays,1552.28,2737,573,264,55
21,aligns,1539.64,4153,1333,400,128
22,toward,1536.13,5640,2242,543,215
23,enabling,1532.37,3279,855,316,82
24,meaningful,1517.47,4778,1720,460,165
25,maintaining,1473.52,5340,2106,514,202
26,supporting,1419.08,4778,1799,460,172
27,increasingly,1354.05,3397,1027,327,98
28,highlighting,1328.61,2008,338,193,32
29,influence,1320.77,10014,5560,964,532
30,term,1319.05,13875,8536,1336,817
31,consistently,1297.41,3398,1065,327,102
32,shared,1272.1,4715,1885,454,180
33,contribute,1256.09,4845,1983,467,190
34,clear,1248.1,9789,5499,943,526
35,introduces,1246.36,1423,136,137,13
36,environments,1178.54,8815,4871,849,466
37,grounded,1159.89,2647,735,255,70
38,limited,1141.68,8446,4649,813,445
39,structured,1133.55,8926,5021,860,480
40,carefully,1119.15,1699,288,164,28
41,widely,1111.58,2311,585,223,56
42,platforms,1091.75,6203,3080,597,295
43,remains,1060.92,4234,1767,408,169
44,strongly,1047.96,3094,1064,298,102
45,ensure,1040.75,10502,6385,1011,611
46,stronger,1036.7,2673,827,257,79
47,depends,1024.4,2168,559,209,53
48,insights,1017.72,4865,2232,469,214
49,supported,972.84,4223,1845,407,177
50,long,954.61,14184,9519,1366,911
